<HTML><HEAD><TITLE>NCEDC_Search_Results</TITLE></HEAD><BODY>Your search parameters are:<ul>
<li>start_time=2011/05/01,00:00:00
<li>end_time=2011/05/31,23:59:59
<li>minimum_magnitude=-2.0
<li>maximum_magnitude=10
<li>rflag=A,F,H,I
<li>system=selected
<li>format=egscsv
<li>catalog=BG
</ul>
<PRE>
DateTime,Latitude,Longitude,Depth,Magnitude,MagType,NbStations,Gap,Distance,RMS,Source,EventID
2011/05/01 00:05:40.38,38.82224,-122.80437,2.522,1.94,ML,0,0,0,0.09,LBL,3160653
2011/05/01 00:09:00.55,38.81095,-122.79252,1.530,1.20,ML,0,0,0,0.06,LBL,3160654
2011/05/01 00:09:05.81,38.84497,-122.82608,1.874,0.97,ML,0,0,0,0.06,LBL,3160655
2011/05/01 00:09:12.95,38.83417,-122.87804,2.702,0.82,ML,0,0,0,0.07,LBL,3160656
2011/05/01 00:14:40.45,38.84408,-122.79655,4.605,0.71,ML,0,0,0,0.20,LBL,3160657
2011/05/01 00:24:48.47,38.82147,-122.77883,0.761,0.91,ML,0,0,0,0.07,LBL,3160658
2011/05/01 00:49:07.12,38.81325,-122.73901,2.511,1.07,ML,0,0,0,0.06,LBL,3160659
2011/05/01 01:02:56.64,38.83570,-122.80688,2.026,0.55,ML,0,0,0,0.09,LBL,3160660
2011/05/01 01:20:30.88,38.79263,-122.76299,3.700,0.50,ML,0,0,0,0.06,LBL,3312126
2011/05/01 01:33:55.97,38.81185,-122.78785,0.609,0.32,ML,0,0,0,0.10,LBL,3160661
2011/05/01 01:36:19.16,38.80255,-122.76535,2.625,0.50,ML,0,0,0,0.01,LBL,3312127
2011/05/01 02:08:14.19,38.82178,-122.83455,1.382,0.68,ML,0,0,0,0.06,LBL,3160662
2011/05/01 02:10:26.30,38.80515,-122.78437,2.276,1.54,ML,0,0,0,0.26,LBL,3160663
2011/05/01 02:25:42.90,38.83465,-122.80190,3.704,0.33,ML,0,0,0,0.06,LBL,3261005
2011/05/01 02:57:18.64,38.82425,-122.79124,4.022,0.69,ML,0,0,0,0.07,LBL,3160664
2011/05/01 02:59:07.79,38.83803,-122.79002,0.921,0.20,ML,0,0,0,0.09,LBL,3160665
2011/05/01 03:23:27.23,38.83807,-122.82032,3.585,0.81,ML,0,0,0,0.10,LBL,3160666
2011/05/01 03:25:16.07,38.79122,-122.77969,0.659,0.61,ML,0,0,0,0.04,LBL,3312128
2011/05/01 03:25:46.17,38.81687,-122.82485,3.088,0.34,ML,0,0,0,0.01,LBL,3261006
2011/05/01 04:02:44.44,38.83825,-122.79617,3.015,0.82,ML,0,0,0,0.08,LBL,3160667
2011/05/01 04:10:22.95,38.81003,-122.79498,3.615,1.18,ML,0,0,0,0.06,LBL,3160668
2011/05/01 04:21:32.84,38.84473,-122.82758,1.527,1.10,ML,0,0,0,0.06,LBL,3160669
2011/05/01 04:30:12.49,38.83695,-122.80898,2.540,0.13,ML,0,0,0,0.08,LBL,3312129
2011/05/01 04:35:40.36,38.81137,-122.82768,3.027,0.84,ML,0,0,0,0.05,LBL,3160670
2011/05/01 04:59:39.57,38.81503,-122.83028,3.270,0.46,ML,0,0,0,0.02,LBL,3312130
2011/05/01 05:14:44.28,38.81975,-122.79145,1.209,0.26,ML,0,0,0,0.03,LBL,3160671
2011/05/01 05:15:48.00,38.77808,-122.71253,0.993,1.34,ML,0,0,0,0.10,LBL,3160672
2011/05/01 05:25:11.94,38.82042,-122.82690,2.287,0.56,ML,0,0,0,0.01,LBL,3160673
2011/05/01 05:42:53.09,38.83420,-122.78028,1.285,0.39,ML,0,0,0,0.02,LBL,3261007
2011/05/01 05:51:01.88,38.81423,-122.78928,3.833,1.01,ML,0,0,0,0.06,LBL,3160674
2011/05/01 05:56:48.24,38.83045,-122.77386,0.806,0.70,ML,0,0,0,0.04,LBL,3160675
2011/05/01 06:04:54.18,38.79277,-122.78038,4.525,0.62,ML,0,0,0,0.04,LBL,3160676
2011/05/01 06:08:07.30,38.83793,-122.80865,2.664,1.49,ML,0,0,0,0.08,LBL,3160677
2011/05/01 06:16:12.24,38.83768,-122.80542,2.791,0.76,ML,0,0,0,0.07,LBL,3160678
2011/05/01 06:17:09.78,38.81197,-122.78197,1.262,2.16,ML,0,0,0,0.13,LBL,3160679
2011/05/01 06:25:18.70,38.81470,-122.78173,0.021,0.67,ML,0,0,0,0.09,LBL,3160680
2011/05/01 06:36:55.17,38.82088,-122.82532,1.186,1.04,ML,0,0,0,0.03,LBL,3160681
2011/05/01 06:41:45.32,38.79018,-122.72530,1.644,0.90,ML,0,0,0,0.02,LBL,3160682
2011/05/01 07:04:48.64,38.83652,-122.78665,1.024,0.43,ML,0,0,0,0.04,LBL,3160683
2011/05/01 07:10:45.70,38.81021,-122.79169,1.352,1.32,ML,0,0,0,0.10,LBL,3160684
2011/05/01 07:11:23.37,38.80947,-122.78435,1.541,0.93,ML,0,0,0,0.17,LBL,3160685
2011/05/01 07:15:22.33,38.81228,-122.83103,2.965,0.71,ML,0,0,0,0.03,LBL,3160686
2011/05/01 07:25:34.87,38.83758,-122.83180,2.333,0.55,ML,0,0,0,0.02,LBL,3160687
2011/05/01 07:27:44.93,38.84697,-122.82373,1.250,0.72,ML,0,0,0,0.07,LBL,3160688
