event_id,origin_time,latitude,longitude,depth_km,magnitude,magnitude_type,x_m,y_m,z_m
3258954,2011/03/01 04:26:28.61,38.84887,-122.82552,2.066,0.21,ML,3031.145956359955,3256.8274930785906,2066.0
3152475,2011/03/01 05:48:21.73,38.80915,-122.83263,3.342,0.69,ML,5700.607429429127,6798.5909677175905,3342.0
3152545,2011/03/01 08:25:54.29,38.83182,-122.79438,2.61,0.77,ML,6274.475931873945,2679.6955376658384,2610.0
3152739,2011/03/02 08:58:11.58,38.84647,-122.82771,2.813,1.27,ML,3084.454387455029,3578.819663053777,2813.0
3153414,2011/03/08 05:33:10.81,38.79163,-122.75232,1.645,1.12,ML,11996.9366026668,3241.9561822918076,1645.0
3311667,2011/03/08 20:31:45.29,38.80968,-122.7914,3.301,1.1,ML,8188.353046059517,4227.966468351264,3301.0
3153531,2011/03/09 00:33:56.62,38.82043,-122.82845,2.321,0.73,ML,5075.066091918526,5660.219480199197,2321.0
3153700,2011/03/10 08:29:50.82,38.83907,-122.79639,2.87,0.8,ML,5584.315577056028,2236.1353267515397,2870.0
3153733,2011/03/10 14:23:05.17,38.83298,-122.76922,4.041,1.34,ML,7727.176202192455,1045.5999768303518,4041.0000000000005
3154265,2011/03/14 22:58:21.02,38.83068,-122.79702,1.034,0.64,ML,6201.663461467358,2930.7757935806035,1034.0
3259464,2011/03/16 17:01:35.15,38.821,-122.79238,0.836,0.72,ML,7243.152675544843,3402.999003819346,836.0
3154593,2011/03/17 22:16:13.79,38.84095,-122.82819,3.118,0.93,ML,3486.6052853827514,4039.8601475866494,3118.0
3259554,2011/03/20 22:12:55.80,38.82953,-122.75795,1.117,1.23,ML,8688.262718614182,624.0080744469143,1117.0
3155403,2011/03/26 19:33:24.15,38.83987,-122.829,3.036,1.06,ML,3521.3598319274,4173.990871523784,3036.0
3155554,2011/03/27 23:04:07.13,38.83837,-122.82693,3.097,1.34,ML,3765.6219408757624,4164.291638244194,3097.0
3155577,2011/03/28 04:26:40.97,38.83828,-122.80035,2.888,0.8,ML,5403.164256241719,2540.823095418387,2888.0
3155583,2011/03/28 05:22:44.51,38.8304,-122.79324,2.655,1.32,ML,6455.43374378326,2720.7905813901016,2655.0
3155599,2011/03/28 06:43:11.27,38.82972,-122.79218,2.088,1.34,ML,6573.625247476017,2708.9342479998263,2088.0
3155608,2011/03/28 07:33:17.62,38.83915,-122.82132,2.554,0.58,ML,4048.771614918735,3759.1692688536377,2554.0
3259782,2011/03/28 09:51:41.14,38.8232,-122.79315,0.0,0.46,ML,7023.905544132217,3278.2205842508106,0.0
3155685,2011/03/28 20:25:30.90,38.8115,-122.8285,2.758,1.57,ML,5770.214419190115,6361.502139408895,2758.0
3155944,2011/03/30 23:20:14.75,38.82635,-122.82532,2.161,0.95,ML,4804.1999402554975,5005.34414922344,2161.0
3156266,2011/04/02 02:00:13.19,38.83963,-122.82955,2.724,0.58,ML,3506.3860363220174,4226.494727235859,2724.0
3156538,2011/04/03 17:33:56.92,38.80022,-122.77119,0.0,0.49,ML,10167.756465318313,3727.8729183096907,0.0
3259991,2011/04/03 19:57:36.46,38.83529,-122.79677,4.537,0.45,ML,5856.5543390349985,2554.9950114576977,4537.0
3311867,2011/04/04 00:54:37.54,38.81967,-122.78605,4.002,0.63,ML,7735.445428759886,3118.685333696623,4002.0
3156817,2011/04/05 09:34:47.10,38.83778,-122.80105,2.328,0.58,ML,5399.317745286919,2622.8572315953706,2328.0
3156874,2011/04/05 17:21:09.93,38.83963,-122.82626,2.657,0.92,ML,3708.2055570786592,4024.675206479217,2657.0
3260076,2011/04/06 09:17:31.52,38.7552,-122.72028,2.16,0.96,ML,16810.751742442102,4124.8914162578885,2160.0
3157072,2011/04/07 03:36:29.85,38.79867,-122.73493,1.218,1.02,ML,12513.256045098424,1624.7549767209073,1218.0
3157126,2011/04/07 14:34:46.80,38.83568,-122.7899,2.474,1.03,ML,6247.489769331451,2103.0732334868985,2474.0
3157333,2011/04/09 00:16:07.12,38.81647,-122.82294,3.249,0.45,ML,5722.690777579894,5631.840786303256,3249.0
3157495,2011/04/09 22:06:34.88,38.84243,-122.82867,2.987,1.26,ML,3341.4428067510594,3953.5872555583655,2987.0
3157751,2011/04/11 12:30:49.10,38.83593,-122.8277,2.744,2.16,ML,3909.165390498517,4402.303799709294,2744.0
3157879,2011/04/12 05:24:16.92,38.83525,-122.79923,2.986,0.99,ML,5708.777278371368,2709.027082138925,2986.0
3157907,2011/04/12 09:54:58.86,38.8258,-122.76137,0.051,0.95,ML,8770.108408418764,1125.44206880491,51.0
