<HTML><HEAD><TITLE>NCEDC_Search_Results</TITLE></HEAD><BODY>Your search parameters are:<ul>
<li>start_time=2011/09/01,00:00:00
<li>end_time=2011/09/30,23:59:59
<li>minimum_magnitude=-2.0
<li>maximum_magnitude=10
<li>rflag=A,F,H,I
<li>system=selected
<li>format=egscsv
<li>catalog=BG
</ul>
<PRE>
DateTime,Latitude,Longitude,Depth,Magnitude,MagType,NbStations,Gap,Distance,RMS,Source,EventID
2011/09/01 00:01:50.53,38.83643,-122.79874,0.407,0.73,ML,0,0,0,0.11,LBL,3174626
2011/09/01 00:01:58.63,38.84775,-122.86455,1.545,0.36,ML,0,0,0,0.03,LBL,3174627
2011/09/01 00:13:20.16,38.82158,-122.78876,4.022,1.08,ML,0,0,0,0.06,LBL,3174628
2011/09/01 00:15:07.21,38.83672,-122.80003,3.135,0.91,ML,0,0,0,0.13,LBL,3174629
2011/09/01 00:16:18.18,38.83907,-122.80363,2.933,1.65,ML,0,0,0,0.07,LBL,3174630
2011/09/01 00:59:13.81,38.78170,-122.80302,4.521,1.38,ML,0,0,0,0.40,LBL,3264556
2011/09/01 01:55:41.26,38.83358,-122.77858,1.218,1.55,ML,0,0,0,0.17,LBL,3174631
2011/09/01 02:00:11.22,38.83467,-122.79636,3.478,0.30,ML,0,0,0,0.05,LBL,3264557
2011/09/01 02:11:05.70,38.83883,-122.80289,2.366,1.21,ML,0,0,0,0.07,LBL,3174632
2011/09/01 02:19:36.50,38.81883,-122.79034,3.816,0.49,ML,0,0,0,0.02,LBL,3313240
2011/09/01 02:44:50.23,38.85850,-122.70177,3.000,1.13,ML,0,0,0,0.20,LBL,3264558
2011/09/01 02:57:16.13,38.78557,-122.70572,2.533,1.22,ML,0,0,0,0.03,LBL,3264559
2011/09/01 03:08:58.95,38.82160,-122.80997,3.968,1.48,ML,0,0,0,0.04,LBL,3174633
2011/09/01 03:58:20.34,38.80355,-122.75342,2.192,0.62,ML,0,0,0,0.07,LBL,3174634
2011/09/01 03:58:50.89,38.75253,-122.72545,0.000,1.11,ML,0,0,0,0.09,LBL,3174635
2011/09/01 04:05:13.00,38.82210,-122.82990,1.580,0.65,ML,0,0,0,0.04,LBL,3174636
2011/09/01 04:10:02.23,38.83478,-122.88171,3.143,1.51,ML,0,0,0,0.07,LBL,3174637
2011/09/01 04:16:45.02,38.82903,-122.79868,4.657,1.06,ML,0,0,0,0.14,LBL,3264560
2011/09/01 04:17:30.62,38.82287,-122.79652,0.000,1.16,ML,0,0,0,0.05,LBL,3174638
2011/09/01 04:32:28.24,38.83484,-122.80423,2.767,1.12,ML,0,0,0,0.14,LBL,3174639
2011/09/01 04:42:24.75,38.84308,-122.86749,1.660,1.44,ML,0,0,0,0.04,LBL,3174640
