<HTML><HEAD><TITLE>NCEDC_Search_Results</TITLE></HEAD><BODY>Your search parameters are:<ul>
<li>start_time=2011/12/01,00:00:00
<li>end_time=2011/12/31,23:59:59
<li>minimum_magnitude=-2.0
<li>maximum_magnitude=10
<li>rflag=A,F,H,I
<li>system=selected
<li>format=egscsv
<li>catalog=BG
</ul>
<PRE>
DateTime,Latitude,Longitude,Depth,Magnitude,MagType,NbStations,Gap,Distance,RMS,Source,EventID
2011/12/01 00:04:23.74,38.78725,-122.72128,1.924,1.48,ML,0,0,0,0.04,LBL,3185274
2011/12/01 00:05:19.14,38.83923,-122.83955,2.940,1.45,ML,0,0,0,0.05,LBL,3185275
2011/12/01 00:34:53.41,38.81732,-122.73666,4.090,1.44,ML,0,0,0,0.17,LBL,3185276
2011/12/01 00:35:42.54,38.83878,-122.83990,2.865,1.11,ML,0,0,0,0.05,LBL,3314131
2011/12/01 00:38:48.52,38.84213,-122.83894,2.653,1.41,ML,0,0,0,0.06,LBL,3185277
2011/12/01 00:56:31.73,38.81825,-122.80378,1.062,1.21,ML,0,0,0,0.09,LBL,3185278
2011/12/01 01:19:47.59,38.80082,-122.73375,0.071,1.36,ML,0,0,0,0.10,LBL,3185279
2011/12/01 01:33:14.02,38.83673,-122.80695,2.719,1.21,ML,0,0,0,0.06,LBL,3185280
2011/12/01 02:01:59.66,38.82908,-122.79628,1.983,1.18,ML,0,0,0,0.06,LBL,3185281
2011/12/01 02:05:03.32,38.83022,-122.80611,0.928,1.10,ML,0,0,0,0.14,LBL,3185282
2011/12/01 02:05:52.46,38.82727,-122.80490,1.384,1.16,ML,0,0,0,0.08,LBL,3185283
2011/12/01 02:33:53.07,38.81787,-122.82910,1.992,1.40,ML,0,0,0,0.10,LBL,3185284
2011/12/01 02:38:11.75,38.84175,-122.84097,2.225,0.99,ML,0,0,0,0.00,LBL,3185285
2011/12/01 02:43:50.53,38.84453,-122.83955,1.478,1.37,ML,0,0,0,0.09,LBL,3185286
2011/12/01 02:48:51.48,38.81975,-122.80917,3.890,1.23,ML,0,0,0,0.03,LBL,3185287
2011/12/01 02:51:50.79,38.82628,-122.80537,3.796,1.23,ML,0,0,0,0.28,LBL,3268029
2011/12/01 03:13:57.93,38.83835,-122.78603,3.482,1.08,ML,0,0,0,0.09,LBL,3268030
