event_id,origin_time,latitude,longitude,depth_km,magnitude,magnitude_type,x_m,y_m,z_m
3146316,2011/01/01 10:44:27.77,38.8097,-122.79432,3.897,1.29,ML,8007.666800968083,4405.525208433897,3897.0
3257525,2011/01/01 11:20:51.67,38.79945,-122.7917,0.5,0.95,ML,8969.80945627567,5046.228870196073,500.0
3146317,2011/01/01 11:24:07.64,38.80653,-122.79092,4.141,1.16,ML,8464.088858813264,4444.812694501606,4141.0
3146318,2011/01/01 11:30:52.36,38.81335,-122.7883,4.022,1.49,ML,8091.568751565834,3750.853593708764,4022.0000000000005
3146319,2011/01/01 11:32:33.53,38.81185,-122.78907,4.18,1.57,ML,8161.615833479047,3915.369387464324,4180.0
3146320,2011/01/01 11:34:22.62,38.81572,-122.8247,3.523,1.47,ML,5673.3672543899565,5798.445747328135,3523.0
3311225,2011/01/01 11:56:08.72,38.84202,-122.8326,2.529,0.84,ML,3132.420487933139,4226.723427059433,2529.0
3146321,2011/01/01 12:27:34.55,38.83612,-122.77468,2.433,1.06,ML,7146.732535182732,1135.0253574398287,2433.0
3146322,2011/01/01 12:56:52.47,38.84202,-122.82882,2.438,0.99,ML,3364.298235186341,3994.8456798062302,2438.0
3146323,2011/01/01 12:58:17.52,38.8151,-122.79773,2.669,1.7,ML,7376.2729056814605,4192.492751312718,2669.0
3257526,2011/01/01 12:58:57.87,38.8374,-122.80048,3.573,0.97,ML,5463.994734918313,2617.6028371333678,3573.0
3146324,2011/01/01 13:10:20.30,38.78562,-122.7723,0.926,1.52,ML,11241.204709062511,4937.5033310750305,926.0
3146325,2011/01/01 13:57:56.17,38.82782,-122.80248,1.578,1.53,ML,6090.34554579518,3489.3269255276264,1578.0
3146326,2011/01/01 14:22:46.44,38.84381,-122.82978,2.186,1.95,ML,3165.452799433055,3913.779417261501,2186.0
3146327,2011/01/01 14:52:55.30,38.85728,-122.82273,2.353,1.61,ML,2544.7358893017713,2428.1217038864706,2353.0
3146328,2011/01/01 15:30:49.97,38.81997,-122.79778,3.399,1.66,ML,6992.432004877028,3814.786182446394,3399.0
3257528,2011/01/01 15:31:10.01,38.80548,-122.79498,0.452,0.8,ML,8297.131988618592,4775.963577664308,452.0
3146329,2011/01/01 15:31:37.79,38.80788,-122.79401,1.501,1.57,ML,8168.98470788141,4528.810257332342,1501.0
3146330,2011/01/01 15:32:32.23,38.80293,-122.7955,0.605,0.79,ML,8464.611906859349,5007.240548060354,605.0
3311226,2011/01/01 15:47:30.10,38.83998,-122.8262,3.786,1.04,ML,3684.520487413879,3993.628938488357,3786.0
3146331,2011/01/01 15:56:23.58,38.81365,-122.78765,4.012,1.35,ML,8107.985621595572,3687.524148544827,4011.9999999999995
3146332,2011/01/01 16:04:13.20,38.81342,-122.78803,4.031,1.46,ML,8102.658314032531,3728.8177637107174,4030.9999999999995
3146333,2011/01/01 16:24:43.76,38.79045,-122.74242,2.906,1.18,ML,12696.49686228244,2726.918718201942,2906.0
3146334,2011/01/01 16:48:48.92,38.79385,-122.75522,0.0,1.09,ML,11645.464448472754,3246.275280495889,0.0
3146335,2011/01/01 16:51:30.38,38.83703,-122.82986,3.0,0.95,ML,3690.657432894254,4448.798981822977,3000.0
3146336,2011/01/01 16:52:37.76,38.78748,-122.77195,0.97,1.65,ML,11117.245887930338,4770.6041863778355,970.0
3146337,2011/01/01 16:54:24.48,38.81512,-122.81797,1.434,0.88,ML,6133.120368944919,5432.51778304046,1434.0
3146338,2011/01/01 17:03:26.24,38.76103,-122.74112,2.176,1.47,ML,15076.523111533728,4947.452337067622,2176.0
3146339,2011/01/01 17:13:32.94,38.81653,-122.74095,2.782,1.26,ML,10747.538275955692,597.6107729010627,2782.0
3146340,2011/01/01 17:15:00.01,38.82952,-122.79575,1.01,1.07,ML,6370.2671223375655,2943.5674232273727,1010.0
3146341,2011/01/01 17:22:41.61,38.8125,-122.79388,3.732,1.5,ML,7815.732510870494,4159.608797283039,3732.0
3146342,2011/01/01 17:25:10.71,38.83612,-122.77202,2.005,1.15,ML,7309.9057647313775,971.8521278911822,2005.0
3146343,2011/01/01 17:27:33.75,38.85345,-122.82888,1.382,1.12,ML,2466.9330797249777,3104.841722670946,1382.0
3146344,2011/01/01 17:31:48.57,38.81128,-122.8269,3.263,1.17,ML,5885.565007746748,6280.554105951268,3263.0
3146345,2011/01/01 17:36:05.41,38.83335,-122.77248,2.79,1.92,ML,7498.267559684122,1216.649776673135,2790.0
3146346,2011/01/01 17:39:34.92,38.81116,-122.79012,3.626,1.51,ML,8151.154809534361,4033.729334216444,3626.0
3146347,2011/01/01 17:42:12.60,38.80878,-122.79008,2.051,0.93,ML,8339.695090340161,4217.362149472106,2051.0
3146348,2011/01/01 17:50:04.18,38.83608,-122.79982,2.947,1.5,ML,5607.688991002503,2680.323911637655,2947.0
3146349,2011/01/01 18:03:31.53,38.74962,-122.73938,0.925,1.33,ML,16075.381291046533,5732.835765141555,925.0
3146350,2011/01/01 18:08:13.03,38.8737,-122.81165,2.268,1.37,ML,1940.5790618620226,464.59691900602354,2268.0
3257530,2011/01/01 18:15:38.18,38.8484,-122.83403,2.092,0.7,ML,2545.8624922988997,3815.607324849187,2092.0
3146351,2011/01/01 18:21:25.48,38.83592,-122.77731,1.25,0.93,ML,7001.037130260588,1311.9958124510679,1250.0
3146352,2011/01/01 18:29:36.93,38.82677,-122.79463,3.776,2.32,ML,6653.987609405071,3089.878874885766,3776.0
3146353,2011/01/01 18:30:56.60,38.8287,-122.79038,3.952,1.52,ML,6763.7946000861875,2678.2676508450427,3952.0
3146354,2011/01/01 18:34:38.78,38.82655,-122.79307,3.782,1.35,ML,6766.884465185763,3011.384574204079,3782.0
3146355,2011/01/01 18:36:17.86,38.84362,-122.82715,2.259,1.11,ML,3341.641378191817,3767.3021360868797,2259.0
3146356,2011/01/01 18:38:44.88,38.82423,-122.78735,3.353,1.13,ML,7299.163542550727,2841.8960778730693,3353.0
3146357,2011/01/01 18:58:34.94,38.83728,-122.8113,1.48,1.46,ML,4809.642534263301,3290.7200678422814,1480.0
3146358,2011/01/01 18:58:55.69,38.80862,-122.81378,2.095,1.19,ML,6898.368441092865,5683.708838790899,2095.0
3146359,2011/01/01 19:01:13.27,38.8561,-122.82294,3.294,1.08,ML,2624.1151899958827,2533.2651987192457,3294.0
3257532,2011/01/01 19:05:07.51,38.84345,-122.77983,1.457,0.92,ML,6257.699147496867,877.8281593582826,1457.0
3146360,2011/01/01 19:06:48.39,38.83383,-122.7887,3.312,1.24,ML,6465.748859248906,2174.1083568949657,3312.0
3257533,2011/01/01 19:11:03.41,38.83375,-122.7899,2.822,0.77,ML,6398.391886011809,2253.9753501672567,2822.0
3257534,2011/01/01 19:23:45.05,38.86908,-122.82128,1.461,0.78,ML,1711.0697247717503,1416.5599131565148,1461.0
3257535,2011/01/01 19:37:01.84,38.82096,-122.84037,4.345,0.73,ML,4302.414283552881,6349.992405828905,4345.0
3146361,2011/01/01 19:46:07.91,38.83658,-122.78201,1.177,0.89,ML,6661.119696532207,1548.7055808857663,1177.0
3311227,2011/01/01 20:10:23.03,38.82963,-122.80983,2.586,0.57,ML,5497.952546705571,3798.68072131042,2586.0
3146362,2011/01/01 20:24:55.49,38.87047,-122.81979,0.928,0.93,ML,1693.7904715868744,1216.4775682215657,928.0
3146363,2011/01/01 20:27:14.39,38.82778,-122.8033,2.063,1.09,ML,6043.171528914306,3542.7559524272087,2063.0
3257537,2011/01/01 20:36:08.12,38.8435,-122.79121,2.866,0.75,ML,5555.702791701787,1572.005752630812,2866.0
3146364,2011/01/01 21:05:35.69,38.81623,-122.79625,1.544,0.98,ML,7378.7090018609,4013.3526221300544,1544.0
3146365,2011/01/01 21:21:58.75,38.83188,-122.78817,3.475,1.22,ML,6650.726687705294,2294.062266808094,3475.0
3146366,2011/01/01 21:31:09.81,38.81743,-122.79483,2.17,1.13,ML,7371.991365111068,3832.419958344201,2170.0
3146367,2011/01/01 21:34:36.40,38.79915,-122.7937,0.0,1.08,ML,8870.579105084946,5192.371796520996,0.0
3257539,2011/01/01 21:51:54.61,38.83758,-122.77219,0.661,0.9,ML,7185.323467611528,868.1265593598569,661.0
3146368,2011/01/01 22:09:24.11,38.84367,-122.82603,2.862,1.26,ML,3406.4365146350947,3694.6882371210486,2862.0
3257540,2011/01/01 22:42:15.69,38.81312,-122.81403,2.102,0.87,ML,6531.188297744433,5347.2003551330135,2102.0
3146369,2011/01/01 23:19:10.01,38.84197,-122.82405,2.846,1.07,ML,3660.815249884754,3706.1474276292583,2846.0
3146370,2011/01/01 23:29:00.51,38.81258,-122.73538,2.739,1.73,ML,11398.061684527307,564.7696035910315,2739.0
3257541,2011/01/01 23:29:23.04,38.77607,-122.72726,1.161,0.9,ML,14750.799634774397,2921.292047121627,1161.0
3146371,2011/01/01 23:31:16.09,38.81147,-122.82001,3.353,0.84,ML,6293.364829475719,5843.042986637045,3353.0
3257542,2011/01/01 23:32:52.68,38.80385,-122.80119,3.579,1.01,ML,8043.63580438786,5284.35142012267,3579.0
3146372,2011/01/01 23:37:33.24,38.81033,-122.79332,3.48,1.33,ML,8019.751916456911,4294.92368516403,3480.0
3146373,2011/01/02 00:55:59.07,38.84745,-122.82024,2.272,1.27,ML,3466.0651104975423,3043.9611945734723,2272.0
3146374,2011/01/02 01:01:42.53,38.8241,-122.78899,0.793,0.91,ML,7208.724890048271,2952.6635129332703,793.0
3146375,2011/01/02 01:35:54.74,38.84706,-122.82587,2.427,1.37,ML,3151.195396230853,3419.8172565145087,2427.0
3257543,2011/01/02 01:38:01.56,38.80045,-122.80325,0.423,0.86,ML,8183.106492224864,5676.556583801402,423.0
3146376,2011/01/02 01:59:34.85,38.78428,-122.75629,2.755,1.37,ML,12328.082670119467,4060.1682056153477,2755.0
3146377,2011/01/02 02:03:39.35,38.80348,-122.81605,3.009,1.4,ML,7161.0034997473995,6224.842567427569,3009.0
3146378,2011/01/02 02:10:14.10,38.77563,-122.70557,1.912,1.14,ML,16115.7387872044,1625.1580048874139,1912.0
3257544,2011/01/02 02:25:00.70,38.79576,-122.77655,1.49,1.13,ML,10187.673081941182,4405.3899186755425,1490.0
3146379,2011/01/02 02:28:49.49,38.82415,-122.82498,2.095,1.24,ML,4997.06944433492,5156.500196124069,2095.0
3146380,2011/01/02 02:46:59.68,38.8143,-122.8165,0.886,1.65,ML,6287.408901114576,5406.456956235984,886.0
3146381,2011/01/02 02:53:10.36,38.8153,-122.82238,3.594,1.14,ML,5848.522557943573,5688.968048961508,3594.0
3257545,2011/01/02 03:14:54.07,38.82045,-122.8242,0.909,0.77,ML,5334.211446775047,5397.946620333878,909.0
3146382,2011/01/02 03:28:00.74,38.81598,-122.79144,3.882,1.33,ML,7693.317274379802,3737.8381622216884,3882.0
3311228,2011/01/02 03:39:12.20,38.806,-122.789,1.009,1.04,ML,8623.307473389474,4368.472962662445,1008.9999999999999
3257546,2011/01/02 03:43:45.02,38.83593,-122.8042,3.291,0.84,ML,5350.733395906216,2960.735794301596,3291.0
3146384,2011/01/02 04:09:06.69,38.8394,-122.82504,1.947,1.08,ML,3801.0275605227484,3967.8195106379767,1947.0
3146385,2011/01/02 04:40:57.76,38.79058,-122.74387,3.065,1.51,ML,12597.3846579036,2805.702140023036,3065.0
3146387,2011/01/02 04:51:31.65,38.79213,-122.79785,4.051,1.91,ML,9164.881458726819,5995.823701008492,4051.0
3146388,2011/01/02 04:58:34.98,38.8705,-122.81315,0.711,1.25,ML,2098.764483507194,806.8122987874941,711.0
3146389,2011/01/02 05:01:09.75,38.78055,-122.72052,1.274,1.06,ML,14813.973046390942,2157.5575135075633,1274.0
3146390,2011/01/02 05:13:01.99,38.84643,-122.82066,2.736,0.99,ML,3520.0522940857004,3149.4767664407013,2736.0
3146391,2011/01/02 05:13:42.36,38.81763,-122.81192,3.177,1.93,ML,6307.996511878715,4865.139761487459,3177.0
3146392,2011/01/02 05:40:41.31,38.80264,-122.80521,1.851,1.31,ML,7891.642687004007,5625.558590546052,1851.0
3146393,2011/01/02 05:43:36.48,38.84025,-122.8289,2.937,1.04,ML,3497.7828662799393,4138.14524200185,2937.0
3146394,2011/01/02 06:38:38.53,38.86903,-122.81797,1.249,1.09,ML,1918.0254931770833,1217.4229072726228,1249.0
3146395,2011/01/02 06:51:21.16,38.81978,-122.809,3.664,1.5,ML,6319.015610236442,4517.91387467112,3664.0
3146396,2011/01/02 06:53:07.10,38.81183,-122.8175,3.344,1.58,ML,6419.189016036905,5660.923709915265,3344.0
3146397,2011/01/02 07:05:48.81,38.81612,-122.7927,4.553,1.15,ML,7605.078424431273,3804.1844771086285,4553.0
3146398,2011/01/02 07:13:28.78,38.74207,-122.71208,1.214,1.9,ML,18340.37048052774,4648.479716526763,1214.0
3146399,2011/01/02 07:18:53.70,38.82472,-122.82439,3.19,0.8,ML,4988.695056391951,5075.740691313505,3190.0
3146400,2011/01/02 07:22:55.36,38.81922,-122.783,1.335,1.26,ML,7957.726984216483,2966.7726409407683,1335.0
3146401,2011/01/02 07:26:59.29,38.84218,-122.81807,5.192,1.45,ML,4011.2288984746583,3322.894976446415,5192.0
3311229,2011/01/02 07:27:12.15,38.81581,-122.7833,1.695,0.83,ML,8205.943790413376,3251.7954387645696,1695.0
