<HTML><HEAD><TITLE>NCEDC_Search_Results</TITLE></HEAD><BODY>Your search parameters are:<ul>
<li>start_time=2011/03/01,00:00:00
<li>end_time=2011/03/31,23:59:59
<li>minimum_magnitude=-2.0
<li>maximum_magnitude=10
<li>rflag=A,F,H,I
<li>system=selected
<li>format=egscsv
<li>catalog=BG
</ul>
<PRE>
DateTime,Latitude,Longitude,Depth,Magnitude,MagType,NbStations,Gap,Distance,RMS,Source,EventID
2011/03/01 00:04:44.23,38.83633,-122.79650,3.573,1.15,ML,0,0,0,0.11,LBL,3152209
2011/03/01 00:07:33.20,38.83904,-122.82510,2.248,0.83,ML,0,0,0,0.03,LBL,3152210
2011/03/01 00:12:35.74,38.77752,-122.72625,1.167,1.30,ML,0,0,0,0.07,LBL,3152211
2011/03/01 00:22:59.80,38.81272,-122.82868,3.334,0.71,ML,0,0,0,0.02,LBL,3152212
2011/03/01 00:25:34.53,38.82888,-122.75845,0.244,0.70,ML,0,0,0,0.06,LBL,3152213
2011/03/01 00:34:14.91,38.83787,-122.79945,2.674,1.55,ML,0,0,0,0.09,LBL,3152214
2011/03/01 00:39:10.70,38.80488,-122.73235,1.987,0.79,ML,0,0,0,0.08,LBL,3152215
2011/03/01 00:45:24.24,38.78703,-122.72970,1.440,1.44,ML,0,0,0,0.08,LBL,3152216
2011/03/01 00:52:33.44,38.82952,-122.79180,4.193,0.82,ML,0,0,0,0.13,LBL,3152217
2011/03/01 00:53:59.38,38.81935,-122.79003,4.183,2.69,ML,0,0,0,0.10,LBL,3152218
2011/03/01 00:57:05.11,38.81812,-122.79610,5.025,0.38,ML,0,0,0,0.03,LBL,3311587
2011/03/01 00:58:06.78,38.81532,-122.81622,1.015,1.31,ML,0,0,0,0.07,LBL,3152219
2011/03/01 01:46:23.71,38.82067,-122.80203,4.025,1.18,ML,0,0,0,0.04,LBL,3152220
2011/03/01 02:04:54.43,38.82432,-122.78420,1.427,0.16,ML,0,0,0,0.04,LBL,3258919
2011/03/01 02:19:46.72,38.81650,-122.81422,3.609,4.09,ML,0,0,0,0.20,LBL,3152221
2011/03/01 02:21:05.35,38.84187,-122.78976,4.732,2.01,ML,0,0,0,0.18,LBL,3152222
2011/03/01 02:21:14.89,38.82033,-122.81203,3.502,2.28,ML,0,0,0,0.03,LBL,3152223
2011/03/01 02:21:20.65,38.82212,-122.80151,2.937,2.55,ML,0,0,0,0.05,LBL,3152224
2011/03/01 02:21:26.22,38.81423,-122.82117,3.865,2.52,ML,0,0,0,0.14,LBL,3152225
2011/03/01 02:21:39.25,38.82423,-122.82423,1.750,1.41,ML,0,0,0,0.03,LBL,3152226
2011/03/01 02:21:49.52,38.79767,-122.81924,2.342,2.48,ML,0,0,0,0.08,LBL,3152227
2011/03/01 02:21:57.11,38.79768,-122.82495,2.344,2.28,ML,0,0,0,0.09,LBL,3152228
2011/03/01 02:22:05.72,38.81585,-122.85578,2.080,1.85,ML,0,0,0,0.16,LBL,3152229
2011/03/01 02:22:53.78,38.81083,-122.82900,2.246,1.69,ML,0,0,0,0.08,LBL,3152230
2011/03/01 02:23:08.17,38.81825,-122.82715,1.985,1.23,ML,0,0,0,0.10,LBL,3152231
2011/03/01 02:23:22.12,38.80718,-122.82027,2.882,1.42,ML,0,0,0,0.08,LBL,3152232
2011/03/01 02:23:32.43,38.83207,-122.58254,0.000,1.59,ML,0,0,0,1.20,LBL,3152233
2011/03/01 02:23:46.89,38.81687,-122.82958,3.682,1.56,ML,0,0,0,0.05,LBL,3152234
