<HTML><HEAD><TITLE>NCEDC_Search_Results</TITLE></HEAD><BODY>Your search parameters are:<ul>
<li>start_time=2011/02/01,00:00:00
<li>end_time=2011/02/28,23:59:59
<li>minimum_magnitude=-2.0
<li>maximum_magnitude=10
<li>rflag=A,F,H,I
<li>system=selected
<li>format=egscsv
<li>catalog=BG
</ul>
<PRE>
DateTime,Latitude,Longitude,Depth,Magnitude,MagType,NbStations,Gap,Distance,RMS,Source,EventID
2011/02/01 00:24:42.89,38.79067,-122.73402,2.295,1.29,ML,0,0,0,0.02,LBL,3149350
2011/02/01 00:27:13.37,38.77283,-122.73613,1.355,1.05,ML,0,0,0,0.01,LBL,3149351
2011/02/01 01:29:55.31,38.82968,-122.79805,2.873,2.49,ML,0,0,0,0.12,LBL,3149352
2011/02/01 01:30:12.34,38.83152,-122.79252,3.393,1.25,ML,0,0,0,0.10,LBL,3149353
2011/02/01 01:34:37.04,38.82882,-122.80075,1.975,0.50,ML,0,0,0,0.15,LBL,3149354
2011/02/01 01:35:15.40,38.83085,-122.79649,3.043,0.75,ML,0,0,0,0.09,LBL,3258268
2011/02/01 01:37:05.96,38.81145,-122.82547,2.808,1.23,ML,0,0,0,0.03,LBL,3149355
2011/02/01 02:04:09.17,38.83252,-122.79749,3.002,1.43,ML,0,0,0,0.08,LBL,3149356
2011/02/01 02:11:06.03,38.83900,-122.79318,2.910,0.81,ML,0,0,0,0.17,LBL,3149357
2011/02/01 02:38:31.86,38.81633,-122.81603,3.230,1.04,ML,0,0,0,0.03,LBL,3149358
2011/02/01 02:41:31.38,38.84717,-122.82214,2.102,1.15,ML,0,0,0,0.03,LBL,3149359
2011/02/01 02:49:50.68,38.79680,-122.76022,0.694,1.27,ML,0,0,0,0.09,LBL,3149360
2011/02/01 03:10:29.47,38.80167,-122.79650,3.948,0.79,ML,0,0,0,0.03,LBL,3258269
2011/02/01 03:50:28.92,38.83348,-122.79282,3.543,1.02,ML,0,0,0,0.07,LBL,3149361
2011/02/01 04:03:04.13,38.83380,-122.78178,3.092,0.93,ML,0,0,0,0.17,LBL,3149362
2011/02/01 04:08:17.29,38.81937,-122.79953,3.788,1.85,ML,0,0,0,0.05,LBL,3149363
2011/02/01 04:19:42.69,38.82777,-122.80037,3.090,1.62,ML,0,0,0,0.05,LBL,3149364
2011/02/01 04:38:53.03,38.83840,-122.80067,2.752,1.42,ML,0,0,0,0.06,LBL,3149365
2011/02/01 04:46:58.06,38.79848,-122.80688,2.740,0.80,ML,0,0,0,0.05,LBL,3149366
2011/02/01 05:04:14.85,38.82152,-122.86142,3.173,1.47,ML,0,0,0,0.08,LBL,3149367
2011/02/01 05:06:06.25,38.78442,-122.77313,4.444,1.50,ML,0,0,0,0.02,LBL,3149368
2011/02/01 05:07:46.48,38.80098,-122.81235,3.881,1.19,ML,0,0,0,0.10,LBL,3149369
2011/02/01 05:10:40.10,38.80397,-122.79762,0.431,0.97,ML,0,0,0,0.12,LBL,3149370
